sample_id	run_aggregate	run_annotate	run_denovo	run_fetch	run_score
388	243.5	1425	171.65	127.31	79
389	502.11	1669	175.86	154.51	89
390	974.81	1584	171.69	166.13	44
391	799.31	1731	172.03	141.26	62
392	892.9	1569	172.34	157.53	78
393	2143.33	1612	167.86	147.56	72
394	406.76	1695	167.75	146.38	80
395	945.49	1552	170.04	174.09	56
396	1552.12	1506	172.49	174.56	79
397	555.94	1424	178.98	173.28	96
398	589.94	1551	171.24	152.71	74
399	771.69	1840	171.37	150.68	2
400	941.78	1338	175.86	137.69	108
401	1000.87	1326	173.02	171.14	71
402	1235.6	1447	176.96	156.65	89
403	753.79	1543	175.62	164.93	72
404	1641.8	1146	175.4	160.87	87
405	1497.18	1358	173.42	153.38	70
406	1025.33	1356	171.26	139.48	73
407	515.58	1575	176.39	133.33	80
408	1795.45	1517	215.81	133.79	94
409	1381.39	1749	174.46	142.64	57
410	840.71	1539	169.8	146.75	73
411	698.81	1459	170.94	148.28	2
412	601.5	1506	177.06	123.85	109
413	871.19	1573	166.74	152.27	75
414	444.06	1427	177.76	176.05	79
415	1760.13	1832	176.8	149.39	80
416	1964.05	1537	171.74	152.36	69
417	1267.33	2118	178.39	166.63	73
418	1216.27	1389	174.87	155.03	70
419	807.84	1504	166.04	154.95	76
420	756.15	1660	168.82	152.79	67
421	781.94	1446	171.74	128.33	72
422	712.45	1835	173.97	131.07	90
423	700.28	1567	167.33	151.57	76
424	457.49	1680	170.63	145.89	89
425	1054.28	1558	172.59	164.84	69
426	1060.01	1596	177.23	169.49	68
427	1033.27	1468	176.4	146.2	108
428	952.65	1641	178.12	151.3	94
429	1052.73	1195	175.36	167.58	81
430	896.4	1557	174.04	152.04	70
431	831.5	1235	167.32	156.89	75
432	2395.24	1390	178.6	163.74	56
433	1748.48	1558	178.17	164.01	75
434	766.99	1463	176.88	139.11	73
435	1097.84	1681	166.91	156.62	78
436	1145.4	1587	175.77	171.9	75
437	844.71	1623	173.36	147.24	67
438	643.08	1610	175.29	163.29	72
439	583.19	1538	173.74	164.11	73
440	766.26	1685	175.37	166.23	79
441	440.19	1561	177.22	166.8	85
442	507.35	1452	172.86	152.58	90
443	901.15	1386	170.26	161.77	72
444	1250.27	1703	170.44	170.84	76
445	390.91	1782	172.26	177.6	103
446	654.92	1649	168.7	166.08	73
447	610.55	1866	171.54	161.88	87
448	556.1	1610	168.49	150.72	71
449	500.68	1545	171.33	157.9	118
450	1729.75	1584	172.47	161.87	117
451	581.39	1521	170.33	164.03	81
452	680.3	1951	175.36	179.66	76
453	422.11	1783	172.68	152.95	65
454	560.8	1371	168.44	155.54	73
455	582.34	1675	167.19	155.2	76
456	541.7	1474	163.65	163.35	90
457	512.37	1362	170.08	155.69	68
458	640.07	1465	171.17	162.8	71
459	648.43	1557	174.44	163.08	79
460	474.64	1643	165.42	148.98	108
461	1105.73	1652	174.16	156.39	77
462	604.69	1721	174.61	160.51	87
463	488.04	1795	173.96	141.36	67
464	571.8	1348	174.16	148.94	125
465	610.38	1397	171.79	147.6	95
466	510.06	1925	170.94	164.83	62
467	593.09	1707	170.81	144.43	76
468	765.71	1610	186.08	147.28	72
469	403	1690	175.75	150.44	131.5
470	1331.04	1462	173.05	142.43	73
471	713.39	1641	169.78	160.93	75
472	556.5	1513	170.51	145.85	71
473	504.54	1230	162.67	150.9	76
474	408.5	1434	172.51	173.73	72
475	730.51	964	166.72	173.14	89
476	403.43	1448	179.31	157.85	72
